date,aqi_level,
11/25/2020,3.652173913,
11/26/2020,3.5,
11/27/2020,4.333333333,
11/28/2020,3.541666667,
11/29/2020,3.708333333,
11/30/2020,3.375,
12/1/2020,3.333333333,
12/2/2020,4.458333333,
12/3/2020,4.166666667,
12/4/2020,4.791666667,
12/5/2020,4.875,
12/6/2020,4.458333333,
12/7/2020,3.708333333,
12/8/2020,2.625,
12/9/2020,4.666666667,
12/10/2020,4.125,
12/11/2020,4.416666667,
12/12/2020,4.833333333,
12/13/2020,4.375,
12/14/2020,4.666666667,
12/15/2020,3.625,
12/16/2020,3.916666667,
12/17/2020,3.875,
12/18/2020,2.375,
12/19/2020,3.125,
12/20/2020,2.333333333,
12/21/2020,3.791666667,
12/22/2020,3.958333333,
12/23/2020,3.833333333,
12/24/2020,5,
12/25/2020,4,
12/26/2020,3.208333333,
12/27/2020,3.75,
12/28/2020,4.625,
12/29/2020,4.958333333,
12/30/2020,3.791666667,
12/31/2020,2.041666667,
1/1/2021,2.75,
1/2/2021,2.333333333,
1/3/2021,3.708333333,
1/4/2021,3.875,
1/5/2021,4.291666667,
1/6/2021,4,
1/7/2021,4,
1/8/2021,2.75,
1/9/2021,2.958333333,
1/10/2021,3.041666667,
1/11/2021,3.291666667,
1/12/2021,3.958333333,
1/13/2021,4.291666667,
1/14/2021,4.791666667,
1/15/2021,3.625,
1/16/2021,2.916666667,
1/17/2021,2,
1/18/2021,2.083333333,
1/19/2021,2.666666667,
1/20/2021,4.5,
1/21/2021,4.708333333,
1/22/2021,4.375,
1/23/2021,3.958333333,
1/24/2021,4.833333333,
1/25/2021,4.833333333,
1/26/2021,4.916666667,
1/27/2021,4,
1/28/2021,4.391304348,
1/29/2021,3.916666667,
1/30/2021,2.708333333,
1/31/2021,3.708333333,
2/1/2021,4.083333333,
2/2/2021,4.583333333,
2/3/2021,3.791666667,
2/4/2021,3.916666667,
2/5/2021,3.75,
2/6/2021,4,
2/7/2021,4,
2/8/2021,3.708333333,
2/9/2021,3.291666667,
2/10/2021,3.625,
2/11/2021,4.583333333,
2/12/2021,4.125,
2/13/2021,4.625,
2/14/2021,5,
2/15/2021,4.166666667,
2/16/2021,3.833333333,
2/17/2021,4.875,
2/18/2021,3.208333333,
2/19/2021,2.416666667,
2/20/2021,3.708333333,
2/21/2021,2.708333333,
2/22/2021,3.083333333,
2/23/2021,4.791666667,
2/24/2021,4.25,
2/25/2021,4.125,
2/26/2021,4.541666667,
2/27/2021,4.291666667,
2/28/2021,3.791666667,
3/1/2021,4.833333333,
3/2/2021,4.416666667,
3/3/2021,2.708333333,
3/4/2021,3.75,
3/5/2021,2.916666667,
3/6/2021,2.958333333,
3/7/2021,3.666666667,
3/8/2021,3.958333333,
3/9/2021,3.25,
3/10/2021,3.416666667,
3/11/2021,2.416666667,
3/12/2021,2.125,
3/13/2021,2.541666667,
3/14/2021,3,
3/15/2021,3.791666667,
3/16/2021,4.583333333,
3/17/2021,5,
3/18/2021,4.75,
3/19/2021,4.625,
3/20/2021,3.25,
3/21/2021,3.625,
3/22/2021,2.75,
3/23/2021,3.208333333,
3/24/2021,3.5,
3/25/2021,3.791666667,
3/26/2021,3.458333333,
3/27/2021,2.833333333,
3/28/2021,3.333333333,
3/29/2021,3.041666667,
3/30/2021,3.5,
3/31/2021,3.375,
4/1/2021,2.875,
4/2/2021,2.666666667,
4/3/2021,2.916666667,
4/4/2021,3.416666667,
4/5/2021,2.75,
4/6/2021,3.625,
4/7/2021,2.833333333,
4/8/2021,3.125,
4/9/2021,3.25,
4/10/2021,2.625,
4/11/2021,3.041666667,
4/12/2021,3.541666667,
4/13/2021,4.416666667,
4/14/2021,4.333333333,
4/15/2021,3.5,
4/16/2021,3.208333333,
4/17/2021,3.375,
4/18/2021,2.708333333,
4/19/2021,3.25,
4/20/2021,2.791666667,
4/21/2021,2.083333333,
4/22/2021,3.291666667,
4/23/2021,3.75,
4/24/2021,4.458333333,
4/25/2021,3.625,
4/26/2021,2.333333333,
4/27/2021,2.833333333,
4/28/2021,3.166666667,
4/29/2021,4.458333333,
4/30/2021,3.875,
5/1/2021,3.166666667,
5/2/2021,2.791666667,
5/3/2021,2.041666667,
5/4/2021,2,
5/5/2021,2.5,
5/6/2021,2.625,
5/7/2021,2.541666667,
5/8/2021,2.291666667,
5/9/2021,1.833333333,
