date,co,no2,o3,so2,pm10,pm2.5,temp,feelslike,humidity,precip,windspeed,cases
25/11/2020,1712.903913,35.89304348,39.35782609,28.20086957,76.78130435,56.88695652,27.8,29.1,63.8,0.07,18.6,45
26/11/2020,1110.95125,30.00666667,42.79041667,24.21958333,45.55625,33.55916667,28.3,30.1,64.6,0.11,23.1,45
27/11/2020,2165.15875,33.7025,4.109583333,43.92958333,78.91291667,60.33291667,27,29.7,84.5,1.35,18.8,67
28/11/2020,1364.35125,28.64666667,16.51916667,26.23125,50.93541667,38.60875,28,31,79.4,0.18,18.9,43
29/11/2020,1280.62625,28.96041667,14.34166667,22.26166667,50.40541667,38.26708333,26.3,27.6,86.1,3.76,16.2,50
30/11/2020,1398.425,34.32916667,41.04083333,23.47416667,56.79958333,42.25375,27.3,28.9,74.8,9.03,23.9,47
1/12/2020,1103.9975,36.09375,33.44875,26.24666667,45.40416667,30.46416667,28,29.5,63.5,0.2,20.5,59
2/12/2020,4096.945,54.70833333,17.165,51.48875,197.2845833,161.7258333,27.7,30.3,75,0,18.2,63
3/12/2020,1823.583333,45.04041667,8.242916667,37.41333333,73.74916667,54.86875,27.9,31.7,81.9,0,17.6,34
4/12/2020,4056.057083,71.71541667,1.41625,66.67833333,162.1620833,129.9916667,27.4,30.1,79.5,0.19,14,26
5/12/2020,2661.38625,66.77416667,31.71708333,50.42583333,123.69125,98.53083333,27.8,31.2,82.3,8.15,13.8,47
6/12/2020,2040.822917,38.54291667,10.29791667,38.04791667,78.48708333,58.11458333,27.9,31.4,80.7,2.12,21.5,52
7/12/2020,2415.22,31.91625,0.379583333,52.32416667,88.67583333,68.79625,26.7,29.2,87.5,1.53,20.2,38
8/12/2020,1032.789167,19.79291667,9.195,23.27166667,38.99708333,25.75125,28,30.9,80.8,6.35,27.9,40
9/12/2020,2645.81125,40.95625,19.77083333,43.50166667,102.6141667,79.04583333,27.4,30.3,82.2,15.83,16.1,39
10/12/2020,1974.900833,29.69583333,2.673333333,39.90583333,78.21041667,56.33291667,26.1,27.3,89.3,8.49,15.1,67
11/12/2020,1905.639583,35.64375,31.31916667,47.78333333,85.87125,60.57375,28.3,31.8,79.7,0,18,32
12/12/2020,2386.015,58.10666667,71.18625,50.36541667,144.2891667,117.1025,28.5,32.3,77.7,0.2,14.7,46
13/12/2020,2211.333333,50.7875,6.999166667,55.125,89.76583333,66.10041667,28.6,32.9,77,1.67,12.5,42
14/12/2020,2521.753333,56.33625,71.12,48.72791667,136.2183333,108.3770833,28.6,31.9,73.8,0,13.9,53
15/12/2020,1760.444167,31.29958333,15.39333333,28.11916667,70.72541667,51.88208333,28.3,31,73.5,0.2,22.2,19
16/12/2020,1416.922917,28.64875,30.65791667,23.34041667,65.77666667,48.60833333,28.4,30.7,69.1,0,20.8,41
17/12/2020,1319.011667,28.33291667,26.22958333,23.33125,53.26833333,40.40083333,26.7,28.3,79.7,1.03,37.5,29
18/12/2020,709.0175,20.35,40.01666667,15.33916667,23.98375,17.64208333,26.6,27.8,82.2,2.39,17.2,75
